Genome ID,Domain,Phylum,Class,Order,Family,Genus,Species
TOBG_SP-269,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,null
TOBG_SP-265,Bacteria,Proteobacteria,Nitrospinae,Nitrospinales,Nitrospinaceae,Nitrospina,null
TOBG_SP-266,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_E,null,null,null
TOBG_SP-267,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,null,null,null
TOBG_SP-260,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,novelGenus_G,null
TOBG_SP-262,Bacteria,Chloroflexi,novelClass_E,novelOrder_B,null,null,null
TOBG_SP-263,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,null,null
TOBG_MED-1178,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_F,null,null
TOBG_SP-3070,Bacteria,Actinobacteria,Acidimicrobidae,Acidimicrobiales,Acidimicrobiaceae,novelGenus_B,null
TOBG_SP-3073,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,novelFamily_B,null,null
TOBG_SP-3072,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Cytophagaceae,Leeuwenhoekiella,null
TOBG_CPC-8,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,null
TOBG_SP-4023,Bacteria,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,null,null
TOBG_SP-4269,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Crocinitomicaceae,null,null
TOBG_SP-3098,Bacteria,Bacteroidetes,Flavobacteria,Flavobacteriales,Flavobacteriaceae,novelGenus_G,null
TOBG_SP-3097,Bacteria,Marinimicrobia,null,null,null,null,null
TOBG_SP-3096,Bacteria,Proteobacteria,Gammaproteobacteria,novelOrder_F,null,null,null
